YOUR SKU;MANUF.SKU;PRODUCT;PRICE;INVENTORY;NEXT SHIPMENT;EAN;MANUFACTURER;WEIGHT;
770097;A000728;BLACKROLL® MINI GYM SET;151;000000;5;000000;0;4260346272080;Blackroll;0;100000;
770098;A001314;BLACKROLL® PILLOW CASE JERSEY anthracite;89;000000;4;000000;0;4260346272356;Blackroll;0;800000;
770099;A001310;BLACKROLL® PILLOW CASE JERSEY DUO PACK white;156;000000;0;000000;0;4260346272318;Blackroll;0;160000;
770101;A001312;BLACKROLL® PILLOW CASE JERSEY light grey;89;000000;3;000000;0;4260346272332;Blackroll;0;800000;
770102;A001311;BLACKROLL® PILLOW CASE JERSEY white;89;000000;4;000000;0;4260346272325;Blackroll;0;800000;
770103;A001026;BLACKROLL® RUNNING BAG;55;000000;6;000000;0;4211125640675;Blackroll;0;800000;
770104;A002341;BLACKROLL® STANDARD black/pink - boxed incl. info yoga;171;000000;0;000000;0;4260346271540;Blackroll;0;320000;
770105;A001081;BLACKROLL® TRAINERBAG XXL;171;000000;1;000000;0;4260346271540;Blackroll;0;966000;
150038;WFSNAP142;Wahoo KICKR SNAP 142x12mm Mountain Bike Adapter Kit;363;440000;0;000000;0;853988006010;Wahoo Fitness Accessories;0;100000;
150039;WFPODCAD2;Wahoo RPM Cadence Sensor ( Black );195;440000;111;000000;0;857335002793;Wahoo Fitness Hardware;0;080000;
150040;WFRPMSPD;Wahoo RPM Speed Sensor;195;440000;0;000000;0;853988006096;Wahoo Fitness Hardware;0;080000;
150041;WFRPMC;Wahoo RPM Speed & Cadence Combo;335;440000;0;000000;0;853988006102;Wahoo Fitness Hardware;0;080000;
150230;WFKICKRCABLE;Wahoo KICKR Direct Connect;447;440000;71;000000;0;850010131139;;0;450000;
211004;10402;MAURTEN Drink Mix 320 CAF 100 - box of 14 servings;215;520000;25;000000;0;7350008410343;;1;340000;
211003;10102;MAURTEN Drink Mix 160 - box of 18 servings;162;720000;261;000000;0;7350008410022;;0;890000;
211000;12002;MAURTEN GEL 100 - box of 12 servings;167;520000;0;000000;0;7350008410138;;0;600000;
211001;13002;MAURTEN GEL 100 CAF 100 - box of 12 servings;191;520000;84;000000;0;7350008410220;;0;600000;
520006;UK_PGQLM;Paingone QALM;779;480000;209;000000;0;5060035704385;;0;245000;
520007;UK_PGQLM-PADS;Paingone Pads for QALM;49;840000;221;000000;0;5060035704422;;0;031000;
150213;WFCC4M2;Wahoo ELEMNT ROAM Two Bolt Out Front Mount;111;440000;1;000000;0;853988006782;Wahoo Fitness Accessories;0;050000;
160011;BLT15DSUNI;Bluetens Pack DUO-SPORT/2 wireless with acc. D UNIVERSAL;1287;440000;22;000000;0;3760071201108;;1;200000;
780015;MV208-75;The Skin Agent MOVE Anti chafe balm 75 ml;93;080000;0;000000;0;7350008050136;;0;134000;
780014;MV207-25;The Skin Agent MOVE Anti chafe balm 25 ml;61;880000;0;000000;0;7350008050129;;0;053000;
160002;BLT02_UNI_SPO;Bluetens + accessories Sport UNIVERSEL;671;440000;40;000000;0;3760071200712;;0;045000;
