YOUR SKU	MANUF.SKU	PRODUCT	PRICE	INVENTORY	NEXT SHIPMENT	EAN	MANUFACTURER	WEIGHT
150041	WFRPMC	Wahoo RPM Speed & Cadence Combo	335,44	0	0	8,53988E+11	Wahoo Fitness Hardware	0,08
150230	WFKICKRCABLE	Wahoo KICKR Direct Connect	447,44	71	0	8,5001E+11		0,45
211004	10402	MAURTEN Drink Mix 320 CAF 100 - box of 14 servings	215,52	25	0	7,35001E+12		1,34
211003	10102	MAURTEN Drink Mix 160 - box of 18 servings	162,72	261	0	7,35001E+12		0,89
211000	12002	MAURTEN GEL 100 - box of 12 servings	167,52	0	0	7,35001E+12		0,6
211001	13002	MAURTEN GEL 100 CAF 100 - box of 12 servings	191,52	84	0	7,35001E+12		0,6
520006	UK_PGQLM	Paingone QALM	779,48	209	0	5,06004E+12		0,245
520007	UK_PGQLM-PADS	Paingone Pads for QALM	49,84	221	0	5,06004E+12		0,031
150213	WFCC4M2	Wahoo ELEMNT ROAM Two Bolt Out Front Mount	111,44	1	0	8,53988E+11	Wahoo Fitness Accessories	0,05
160011	BLT15DSUNI	Bluetens Pack DUO-SPORT/2 wireless with acc. D UNIVERSAL	1287,44	22	0	3,76007E+12		1,2
780015	MV208-75	The Skin Agent MOVE Anti chafe balm 75 ml	93,08	0	0	7,35001E+12		0,134
780014	MV207-25	The Skin Agent MOVE Anti chafe balm 25 ml	61,88	0	0	7,35001E+12		0,053
160002	BLT02_UNI_SPO	Bluetens + accessories Sport UNIVERSEL	671,44	40	0	3,76007E+12		0,045
160007	MPACKUNI	Bluetens Masterpack  + All accessories UNIVERSEL	811,44	164	0	3,76007E+12		1,4
160012	ELEC1201	Bluetens Pack of 12 electrodes S UNIVERSAL	66,64	114	0	3,76007E+12		0,051
160013	ELEC0801	Bluetens Pack of 8 electrodes M UNIVERSAL	66,64	177	0	3,76007E+12		0,071
160014	CLIP01	Bluetens Belt Clip UNIVERSAL	42	8	0	3,76007E+12		0,019
160015	HC01	Bluetens Hardcase for the carying UNIVERSAL	83,44	9	0	3,76007E+12		0,19
160016	CLI01SF	Bluetens Wireless Pack UNIVERSAL	105,84	17	0	3,76007E+12		0,087
160017	ELESUR	Bluetens Electrodes surf UNIVERSAL	66,64	5	0	3,76007E+12		0,044
160018	ELEPAP	Bluetens Electrodes butterfly UNIVERSAL	66,64	35	0	3,76007E+12		0,068
160019	ELECDS	Bluetens DS Pack 4 electrodes M and 8 electrodes S	83,44	100	0	3,76007E+12		0,068
150218	V179010501	Wahoo Timing belt KICKR18	335,44	2	0	 	Wahoo Fitness Accessories	0
780016	CF104-25	The Skin Agent COMFORT Anti chafe balm 25 ml	61,88	263	0	7,35001E+12		0,053
520002	PGP-1282	Paingone Plus	238,68	894	0	5,06004E+12		0,2
520003	KTR-230	Paingone Easy	197,08	294	0	5,06004E+12		0,08
700064	60000 001-01	Hyperice Normatec 2.0 Leg Rec System Short Size Black	7039,36	1	0	8,52152E+11	Hyperice	4,5
150220	WF140BK	Wahoo ELEMNT RIVAL Multi-Sport GPS Watch - Stealth Grey	1847,384	667	0	8,5001E+11		0,32
160003	BLT02_UNI_GDI	*Bluetens + accessories CE UNIVERSEL	671,44	0	0	3,76007E+12		0,045
770081	A001114	BLACKROLL® BOOSTER HEAD	212	2	0	4,26035E+12	Blackroll	0,347
150217	SUN-1200500	Wahoo POWER BRICK FOR TRAINERS 2018	279,44	5	0	 		0
150053	WFANTKIT1	Wahoo ANT+ USB	167,52	104	0	8,53988E+11	Wahoo Fitness Hardware	1
150045	WFCC1M2	Wahoo ELEMNT Stem Mount	66,64	0	0	8,53988E+11	Wahoo Fitness Accessories	0,031
150048	WFDESK1	Wahoo KICKR Desk	1399,44	71	0	8,57335E+11	Wahoo Fitness Accessories	17,2
720047	WAPX-WB-WHT	Coros ACC APEX - 46mm/Pro Watch Band - White	139,44	0	0	8,10006E+11	Coros	0,06
720048	WAPXP-WB-BLK	Coros ACC APEX - 46mm/Pro Watch Band - Black	139,44	0	0	8,10006E+11	Coros	0,06
720049	WAPX-WB-LIM	Coros ACC APEX - 46mm/Pro Watch Band - Lime	139,44	0	0	8,10006E+11	Coros	0,06
720050	WAPXP-WB-ORG	Coros ACC APEX - 46mm/Pro Watch Band - Orange	139,44	0	0	8,10006E+11	Coros	0,06
720051	WAPXs-WB-COR	Coros ACC APEX - 42mm Watch Band - Coral Orange	139,44	0	0	8,10006E+11	Coros	0,06
720052	WAPXs-WB-GRP	Coros ACC APEX - 42mm Watch Band - Grape	139,44	3	0	8,10006E+11	Coros	0,06
720042	WVTX-WB-ORG	Coros ACC VERTIX Orange wrist band (silicone)	139,44	0	0	8,10006E+11	Coros	0,06
720043	WVTX-WB-GRN	Coros ACC VERTIX Green wrist band (silicone)	139,44	0	0	8,10006E+11	Coros	0,06
720045	WVTX-WB-KAK	Coros ACC VERTIX Khaki wrist band (silicone)	139,44	7	0	8,10006E+11	Coros	0,06
720046	WVTX-WB-LGN	Coros ACC VERTIX Lime Green wrist band (silicone)	139,44	0	0	8,10006E+11	Coros	0,06
150097	WFBTHR04	Wahoo TICKR Heart Rate Monitor - White	223,44	0	0	8,53988E+11	Wahoo Fitness POS	0,108
150099	WFBTHR04X	Wahoo TICKR X Heart Rate Monitor with Motion & Memory	335,44	0	0	8,53988E+11	Wahoo Fitness POS	0,108
150095	WFCC4B2	Wahoo ELEMNT ROAM Bundle  -  TICKR Gen 2 and RPM Combo	1919,4	0	0	8,5001E+11	Wahoo Fitness POS	0,6
150098	WFBTHR04G	Wahoo TICKR Heart Rate Monitor - Stealth	223,44	2132	0	8,53988E+11	Wahoo Fitness POS	0,108
550070	WSM02-Analyzer-All-EU/UK	Withings Sleep Analyser	719,4	0	0	3,70055E+12	Nokia	0,824
450000	450000	Re:claim Original	31,6	3808	0	7,35E+12	re:CLAIM	0,543
450001	450001	Re:claim Sensitive	31,6	475	0	7,35E+12	re:CLAIM	0,543
720039	WAPX-WB-COR	*Coros ACC Apex coral waist band 46mm	139,44	17	0	8,10006E+11	Coros	0,06
450020	450020	Re:claim Work Wool	39,6	422	0	7,35E+12	re:CLAIM	1,05
550024	Silicone Wristband-Red-20 mm	Withings acc band Red Silicon 40mm	119,4	23	0	3,70055E+12	Nokia	0,017
550021	Silicone Wristband-Grey-18 mm	Withings acc band Grey Silicon 36mm	119,4	5	0	3,70055E+12	Nokia	0,017
150057	000-5000	Wahoo KICKR Skewer - QR L:150 mm	111,44	4	0	 	Wahoo Fitness Accessories	0,15
150058	000-0422	Wahoo KICKR 130/135 hub with adapter	78,09	1	0	 	Wahoo Fitness Accessories	0,1
550026	Silicone Wristband-Deep Blue-20 mm	Withings acc band Deep Blue Silicon 40mm	119,4	14	0	3,70055E+12	Nokia	0,017
550030	Silicone Wristband-Black-18 mm	Withings acc band Black Silicon 36mm	119,4	9	0	3,70055E+12	Nokia	0,017
550028	Silicone Wristband-Mineral Blue-18 mm	Withings acc band Mineral Blue Silicon 36mm	119,4	4	0	3,70055E+12	Nokia	0,017
550029	Silicone Wristband-White-18 mm	Withings acc band White Silicon 36mm	119,4	14	0	3,70055E+12	Nokia	0,017
550032	Leather Wristband-Brown-18 mm	Withings acc band Brown leather 36mm	239,4	19	0	3,70055E+12	Nokia	0,017
550033	Leather Wristband-Black-18 mm	Withings acc band Black leather 36mm	239,4	18	0	3,70055E+12	Nokia	0,04
150066	WFBKTR5	Wahoo KICKR CLIMB	2579,4	104	0	8,53988E+11	Wahoo Fitness Accessories	12,2
550022	Silicone Wristband-Light Pink-18 mm	Withings acc band light pink Silicon 36mm*	119,4	2	0	3,70055E+12	Nokia	0,017
550023	Silicone Wristband-Red-18 mm	Withings acc band Red Silicon 36mm	119,4	12	0	3,70055E+12	Nokia	0,017
150062	WFCC3M1	Wahoo ELEMNT Bolt Aero Out Front Mount	83,44	38	0	8,53988E+11	Wahoo Fitness Accessories	0,03
150063	WFCCL1	Wahoo ELEMNT BOLT Tether	83,44	38	0	8,53988E+11	Wahoo Fitness Accessories	0,01
550025	Silicone Wristband-Deep Blue-18 mm	Withings acc band Deep Blue Silicon 36mm	119,4	2	0	3,70055E+12	Nokia	0,017
550027	Silicone Wristband-Raspberry-18 mm	*Withings acc band Raspberry Silicon 36mm	119,4	0	0	3,70055E+12	Nokia	0,017
700010	40060 038-00	Hyperice Acc Display Stand	223,44	0	0	8,52152E+11	Hyperice	0
700012	40015038-00	Hyperice Acc Applicator Kit	128,24	19	0	8,52152E+11	Hyperice	0,2
550034	Leather Wristband-Black-20 mm	Withings acc band Black leather 40mm	239,4	13	0	3,70055E+12	Nokia	0,04
550031	Silicone Wristband-Black-20 mm	Withings acc band Black Silicon 40mm	119,4	42	0	3,70055E+12	Nokia	0,017
550009	SCT01-All-Inter	Withings Thermo	479,4	74	0	3,70055E+12	Nokia	0,243
550001	WBS06-Black-All-Inter	Withings Body Black	299,4	62	0	3,70055E+12	Nokia	2,7
550002	WBS06-White-All-Inter	Withings Body White	299,4	105	0	3,70055E+12	Nokia	2,7
550003	WBS05-White-All-Inter	Withings Body + White	479,4	211	0	3,70055E+12	Nokia	2,7
550004	WBS05-Black-All-Inter	Withings Body + Black	479,4	766	0	3,70055E+12	Nokia	2,7
550016	HWA03-36black-All-Inter	Withings Steel HR (36mm) - Black	869,4	9	0	3,70055E+12	Nokia	0,248
550017	HWA03-36white-All-Inter	Withings Steel HR (36mm) - White	869,4	6	0	3,70055E+12	Nokia	0,248
550018	HWA03-40black-All-Inter	Withings Steel HR (40mm) - Black	869,4	83	0	3,70055E+12	Nokia	0,051
550035	Charging cable-HWA03	Withings acc charger Steel HR	119,4	10	0	3,70055E+12	Nokia	0,04
450007	450007	Re:claim Wool Wash	31,6	3614	0	7,35E+12	re:CLAIM	0,543
150067	WFBTHR03	Wahoo TICKR FIT Optical Armband	363,44	315	0	8,53988E+11	Wahoo Fitness Accessories	0,1
550043	36white - RG - S. Grey-All-Inter	Withings Steel HR (36mm) white/Rose Gold w Grey strap	1019,4	9	0	3,70055E+12	Nokia	0,248
150231	WFHRSTRAP2	Wahoo TICKR/ TICKR X Replacement Strap - Gen 2	111,44	26	0	8,5001E+11		0,1
520008	UK_PGA	Paingone AEGIS	389,48	210	0	5,06004E+12		0,266
550042	WBS04b-Black-All-Inter	Withings Body Cardio Black V.2	719,4	0	0	3,70055E+12	Nokia	3,7
550041	WBS04b-White-All-Inter	Withings Body Cardio White V.2	719,4	16	0	3,70055E+12	Nokia	3,7
770106	A001217	"BLACKROLL® YOGA SET - ""BLACKROLL® meets YOGA""*"	415	1	0	4,26035E+12	Blackroll	2,811
450006	450006	Re:claim Sensitive 5L	159,6	155	0	7,35E+12	re:CLAIM	5,17
150068	WFCC3M2	Wahoo ELEMNT BOLT Two Bolt Out Front Mount	111,44	11	0	8,53988E+11	Wahoo Fitness Accessories	0,03
150069	WFBKTR4	Wahoo KICKR CORE	3599,4	60	0	8,53988E+11	Wahoo Fitness Accessories	21,3
150072	WFBKTR7EU	Wahoo Headwind	1119,44	340	0	8,53988E+11	Wahoo Fitness Accessories	9,97
450005	450005	Re:claim Original 5L	159,6	145	0	7,35E+12	re:CLAIM	5,17
550048	HWA03b-40black-sport-all-Inter	Withings Steel HR Sport Black	1019,4	0	0	3,70055E+12	Nokia	0,26
550049	HWA03b-40white-sport-all-Inter	Withings Steel HR Sport White	1019,4	126	0	3,70055E+12	Nokia	0,26
720027	WAPX-WHT	Coros APEX Watch 46mm White	1511,44	22	0	8,10006E+11	Coros	0,39
720020	WVTX-BLK	Coros VERTIX Watch Dark Rock - Black	2687,44	38	0	8,10006E+11	Coros	1,16
720021	WVTX-SVR	Coros VERTIX Watch Fire Dragon - Orange	2687,44	14	0	8,10006E+11	Coros	1,16
