Inventory_list_LivingSport05-08-21,,,,,,,
,,,,,,,
LivingSport SKU no.,EAN / GS1,Description,Quantity,Next arrival,Comment,GW KG,Brand
610-000513,5701000086401,"Prallelgreb 95cm, buet",17,,,0,TITAN LIFE
610-000538,5701000095328,Parallelgreb 85 cm,17,,,0,TITAN LIFE
610-000607,5701000092969,Powerbag 5kg,8,,,0,TITAN LIFE
610-000718,5701000095366,Triceps Push Down,4,,,0,TITAN LIFE
Strength Bands,,,,,,,
360-100400,5701000211995,MD Strength Band 2 1/2 inch Medium Blue,0,,,0.7,ØVRIGE BRANDS
360-110410,5701000257726,MD Recovery Band Orange,0,,,0.3,ØVRIGE BRANDS
400-030030,5701000111943,Elasticband White - Light,817,,,0.1,ØVRIGE BRANDS
400-030031,5701000111950,Elasticband Yellow - Heavy,488,,,0.1,ØVRIGE BRANDS
400-030032,5701000111967,Elasticband Blue - Medium,791,,,0.1,ØVRIGE BRANDS
Weight Vest,,,,,,,
400-112810,885652017336,Reebok Weight Vest 5kg,0,11/3/21,,0,REEBOK
400-112820,885652017350,Reebok Weight Vest 10kg,0,11/3/21,,0,REEBOK
400-800000,5701000180383,TITAN LIFE Weight Vest 30kg,0,4/4/22,,31.5,TITAN LIFE
400-800133,5701000147553,TITAN LIFE TACTICAL VEST 14kg Black,0,12/3/21,,0,TITAN LIFE
420-127005,885652000291,Adidas Full Body Weight Vest,0,8/9/21,,0,ADIDAS
610-000726,5701000087644,TITAN LIFE Weightlifting Belt Leather,82,,,0,TITAN LIFE
Plyometric BOX,,,,,,,
400-800092,5701000080614,TITAN LIFE PRO Plyo Box Wood,85,,,16,TITAN LIFE
610-000598,5701000096042,"TITAN LIFE Plyo Box, wood,  40x50x60cm",192,,,0,TITAN LIFE
Slammer Ball,,,,,,,
400-202305,5055436111818,Reebok Slam Ball 2 kg Delta Studio,8,,,2.1,REEBOK
400-202310,5055436111825,Reebok Slam Ball 3 kg Delta Studio,13,,,3.1,REEBOK
610-000644,5701000087200,Slammer Ball 12kg,6,,,0,TITAN LIFE
610-000645,5701000087224,Slammer Ball 14kg,4,,,0,TITAN LIFE
610-000647,5701000087262,Slammer Ball 16kg,37,,,0,TITAN LIFE
610-000648,5701000087286,Slammer Ball 18kg,6,,,0,TITAN LIFE
610-000649,5701000087309,Slammer Ball 20kg,1,,,0,TITAN LIFE
610-000652,5701000087361,Slammer Ball 8kg,2,,,0,TITAN LIFE
Battle Rope,,,,,,,
610-000455,5701000092181,Klatrereb 8 m,8,,,0,TITAN LIFE
Chalk,,,,,,,
400-800081,5701000077874,TITAN LIFE PRO Chalk,54,8/10/21,,0.6,TITAN LIFE
Bars,,,,,,,
610-000307,5701000094901,"Fjederlås 30mm, sæt à 2",202,,,0,TITAN LIFE
610-000309,5701000094925,"Fjederlås 50mm, sæt à 2",508,,,0,TITAN LIFE
610-000470,5701000094963,Lock Jaw Aluminium Sort,0,,,0,TITAN LIFE
610-000525,5701000095168,TITAN LIFE Olympisk HEX Bar,0,8/17/21,,0,TITAN LIFE
610-000526,5701000095007,TITAN LIFE Olympic Bar 10kg 120cm,33,8/10/21,,0,TITAN LIFE
610-000527,5701000095021,TITAN LIFE Olympic Bar. 15 kg. 183cm. Dia. 50mm,18,8/10/21,,0,TITAN LIFE
610-000528,5701000095045,TITAN LIFE Olympic Bar. 20 kg. 220cm. Dia. 50mm,86,8/10/21,,0,TITAN LIFE
610-000716,5701000095144,Triceps Bar,40,,,0,TITAN LIFE
Plates,,,,,,,
400-201017,5055436118572,Reebok Rack vertical for plate Studio,85,,,10.5,REEBOK
400-202000,5055436116394,Reebok Rack horizontal for plate Studio,14,,,16,REEBOK
400-300930,5701000272248,Titan BOX Plate Bumper Elite 25kg pc.,15,,,25,TITAN LIFE
610-000000,5701000086661,"1,25kg OL Vægtskive Poly Urethane",73,,,0,TITAN LIFE
610-000001,5701000086562,"TITAN LIFE Weight disc Pro. OL 50mm. 1,25kg",0,8/17/21,,0,TITAN LIFE
610-000007,5701000086586,TITAN LIFE Weight disc Pro. OL 50mm. 10kg,0,8/10/21,,0,TITAN LIFE
610-000012,5701000090842,TITAN LIFE Weight disc Pro. OL 50mm. 15kg,1,8/10/21,,0,TITAN LIFE
610-000018,5701000086609,"TITAN LIFE Weight disc Pro. OL 50mm. 2,5kg",386,8/10/21,,0,TITAN LIFE
610-000022,5701000086623,TITAN LIFE Weight disc Pro. OL 50mm. 20kg,1,8/10/21,,0,TITAN LIFE
610-000023,5701000090705,20kg Vægtskive 50mm,4,,,0,TITAN LIFE
610-000026,5701000086760,25kg OL Vægtskive Poly Urethane,22,,,0,TITAN LIFE
610-000053,5701000086647,TITAN LIFE Weight disc Pro. OL 50mm. 5kg,2,8/10/21,,0,TITAN LIFE
610-000213,5701000090767,TITAN LIFE Bumper Plate 10kg. Dia. 50mm. Rubber Bl,0,10/4/21,,0,TITAN LIFE
610-000215,5701000090781,TITAN LIFE Bumper Plate 15kg. Dia. 50mm. Rubber  B,0,10/4/21,,0,TITAN LIFE
610-000216,5701000090804,TITAN LIFE Bumper Plate 20kg Dia. 50mm Rubber B.,0,10/4/21,,0,TITAN LIFE
610-000218,5701000090828,TITAN LIFE Bumper Plate 5kg. Dia. 50mm. Rubber Bla,0,10/4/21,,0,TITAN LIFE
610-000520,5701000097223,"TITAN LIFE Weight disc. 0,5 kg.Dia. 50 mm. Steel ",0,8/10/21,,0,TITAN LIFE
610-000521,5701000097247,"TITAN LIFE Weight disc. 0,75 kg. Dia.50 mm. Steel",0,8/10/21,,0,TITAN LIFE
610-000523,5701000097261,TITAN LIFE Weight disc.1 kg. Dia. 50 mm. Steel,0,8/10/21,,0,TITAN LIFE
610-000803,5701000181465,TITAN LIFE Weight Disc 5 kg. Rubber. Ø50mm. Black,398,8/17/21,,0,TITAN LIFE
610-000804,5701000181472,TITAN LIFE Weight Disc 10 kg. Rubber. Ø50mm. Black,520,8/17/21,,0,TITAN LIFE
610-000805,5701000181489,TITAN LIFE Weight Disc 15 kg. Rubber. Ø50mm. Black,452,8/17/21,,0,TITAN LIFE
610-000806,5701000181496,TITAN LIFE Weight Disc 20 kg. Rubber. Ø50mm. Black,346,8/17/21,,0,TITAN LIFE
Stands,,,,,,,
400-210603,5055436111641,Reebok Wallmount.pullup Delta Studio,0,9/1/21,,7,REEBOK
400-800164,5701000194908,TITAN LIFE Squat stand & Chin up II,0,8/18/21,,0,TITAN LIFE
400-800165,5701000194915,TITAN LIFE Squat stand II,0,8/18/21,,0,TITAN LIFE
Massage,,,,,,,
400-800131,5701000132757,TITAN LIFE Massage Trigger Gun Black,23,,,0,TITAN LIFE
400-800141,5701000173422,TITAN LIFE Vibration Dual Trigger Head Black,60,,,0,TITAN LIFE
440-000028,5701000175143,"Theragun Massager Pro, Black",88,,,0,THERAGUN
440-000029,5701000175150,"Theragun Massager Elite, Black",33,,,0,THERAGUN
440-000030,5701000175167,"Theragun Massager Prime, Black",26,,,0,ØVRIGE BRANDS
440-000031,5701000175174,"Theragun Massager Mini, Black",36,,,0,ØVRIGE BRANDS
440-000032,5701000175181,Theragun Massager Waveroller,5,,,0,ØVRIGE BRANDS
Airtracks,,,,,,,
400-800158,5701000189577,TITAN LIFE Air Jump Track 3,50,,,0,TITAN LIFE
400-800159,5701000189560,TITAN LIFE Air Jump Track 4,45,,,0,TITAN LIFE
