Inventory_list_LivingSport05-08-21,,,,,,,
,,,,,,,
LivingSport SKU no.,EAN / GS1,Description,Quantity,Next arrival,Comment,GW KG,Brand
400-800160,5701000194861,TITAN LIFE BENCH FLAT BENCH II,0,10/15/21,,0,TITAN LIFE
400-800161,5701000194878,TITAN LIFE  HYPER EXTENSION II,0,10/15/21,,0,TITAN LIFE
400-800162,5701000194885,TITAN LIFE BENCH ESSENTIAL BENCH II,0,10/15/21,,0,TITAN LIFE
420-102500,885652000956,Adidas Home Gym 100kg,0,8/20/21,,190.7,ADIDAS
420-103600,885652016452,Adidas Functional Sports Rig,0,9/1/21,,0,ADIDAS
420-104600,885652016445,Adidas Home Gym 45kg,0,8/20/21,,0,ADIDAS
420-105001,885652003261,Adidas Functional Home Rig,0,8/3/21,,0,ADIDAS
610-000310,5701000096202,TITAN LIFE Bench Flat Basic,0,8/17/21,,0,TITAN LIFE
610-000601,5701000085947,TITAN LIFE Power Tower,1,,,0,TITAN LIFE
610-000642,5701000096226,TITAN LIFE Bench Adjustable Pro,31,11/3/21,,0,TITAN LIFE
Accessories,,,,,,,
400-800010,5701000020481,"TITAN LIFE Hula Hoop 1,5kg",257,8/17/21,,1.8,TITAN LIFE
400-800015,5701000021228,TITAN LIFE Doorgym,0,11/3/21,,12,TITAN LIFE
400-800042,5701000024595,TITAN LIFE Push Up Bars,0,11/3/21,,0.5,TITAN LIFE
400-800073,5701000077836,TITAN LIFE Doorway Chin Up Bar,132,12/3/21,,1.6,TITAN LIFE
400-800099,5701000080928,TITAN LIFE Ab Wheel,0,8/17/21,,0.5,TITAN LIFE
400-800125,5701000120129,TITAN LIFE Mini Stepper,604,8/17/21,,0,TITAN LIFE
420-114000,885652002288,Adidas Handgrips,1172,,,0.333,ADIDAS
420-114020,885652002356,Adidas Door Gym,1211,10/5/21,,4,ADIDAS
420-114040,885652002370,Adidas Ab Wheel,1008,,,0.608,ADIDAS
420-116060,885652003636,Adidas Mini stretchband set 3 pcs.,2447,,,0.2,ADIDAS
420-120113,5701000206182,Adidas Push up bars - Premium,0,8/9/21,,0,ADIDAS
420-122311,885652000741,Adidas Push up Bars,873,8/30/21,,0.917,ADIDAS
440-000001,5713310001036,6D SLIDING 2 sliders w/carrybag. Online train code,257,,,0,ØVRIGE BRANDS
440-000002,5713310001012,6D SLIDING PRO 4 sliders w/carrybag Online code,75,,,0,ØVRIGE BRANDS
440-000003,5713310001111,6D SLIDING Box 10. 10 pcs. in a box. 5 sets,8,,,0,ØVRIGE BRANDS
440-000004,5713310001609,6D SLIDING Box 60. 60 sliders in box. 30 sets,2,,,0,ØVRIGE BRANDS
440-000005,5713310001753,6D SLIDING Mini White. Mini Disp. 60 pcs. 30 sets,1,,,0,ØVRIGE BRANDS
440-000007,5701000154094,"6D SLIDING Care 6D Carebox 10 pcs., 5 sets",7,,,0,ØVRIGE BRANDS
470-000310,0747180341492,"Boobuddy Black Small, 1 pcs.",49,,,0,ØVRIGE BRANDS
470-000311,0747180341560,"Boobuddy Black Medium, 1 pcs.",19,,,0,ØVRIGE BRANDS
470-000312,0747180341539,"Boobuddy Pink Small, 1 pcs.",21,,,0,ØVRIGE BRANDS
610-000801,5701000113404,TITAN LIFE Ab Wheel (Fat wheel) Black,518,,,0,TITAN LIFE
Gloves,,,,,,,
420-123313,885652004596,Adidas Gloves Sh. Fingered Perf Red S,45,,,0.8,ADIDAS
420-123341,885652002783,Adidas Gloves Sh. Fingered Perf. Red XL,46,,,0.072,ADIDAS
610-000076,5701000095588,TITAN LIFE Ankel strap. Leather. Adjustable Black,186,,,0,TITAN LIFE
